Attack Window Start,Attack Window End,Duration (mins),Destination IP,# Events,Peak pps,Peak bps,Threat Categories,Vectors (Attack Names),Protocols Seen,Dest Ports,Total Packets Dropped,Devices Involved,Max Risk
2025-11-30 13:34:36,2025-11-30 13:52:54,18.3,142.183.237.70,11,1569479.0,17793792000.0,"BehavioralDOS, TrafficFilters",network flood IPv4 UDP-FRAG; tf_udp-frag-1k,UDP,Multiple/Unknown,669141476,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-12-02 19:38:08,2025-12-02 19:41:08,3.0,142.183.237.70,3,1119930.0,5360297984.0,"BehavioralDOS, DOSShield, TrafficFilters",DDOS-Mirai-GENUDP-flood; network flood IPv4 UDP; tf_udp-frag-1k,UDP,28176,119437320,10.112.155.71,High
2025-12-05 08:09:52,2025-12-05 08:13:52,4.0,142.127.9.164,8,137903367.0,67782213632.0,"BehavioralDOS, TrafficFilters",network flood IPv4 UDP; network flood IPv4 UDP-FRAG; tf_udp-frag-1k,UDP,5735,9089990936,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-12-05 08:24:14,2025-12-05 08:25:37,1.38,142.127.9.164,5,1233447.0,12409435136.0,"BehavioralDOS, TrafficFilters",network flood IPv4 UDP-FRAG; tf_udp-frag-1k,UDP,Multiple/Unknown,84080318,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-12-06 01:28:20,2025-12-06 01:30:08,1.8,142.183.237.155,4,1522362.0,16738327552.0,"BehavioralDOS, TrafficFilters",network flood IPv4 UDP; tf_udp-frag-1k,UDP,Multiple/Unknown,89619590,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-12-09 01:40:54,2025-12-09 01:41:39,0.75,174.90.223.108,4,2682215.0,29355584512.0,"DOSShield, TrafficFilters",DDOS-Mirai-GENUDP-flood; DOSS-DNS-R-Malformed-QD-2; tf_udp-frag-1k,UDP,53,118621668,"10.112.112.180, 10.112.155.71",High
2025-12-09 08:44:24,2025-12-09 08:45:09,0.75,142.243.254.109,1,102438.0,1187863552.0,Anomalies,TCP handshake violation. First packet not SYN,TCP,Multiple/Unknown,2361719,10.112.155.71,Low
2025-12-09 12:22:39,2025-12-09 12:22:59,0.33,184.151.37.190,3,262038.0,2873662464.0,TrafficFilters,tf_udp-frag-1k,UDP,Multiple/Unknown,9710774,"10.112.108.38, 10.112.112.180, 10.112.155.71",High
2025-12-11 22:52:45,2025-12-12 00:46:30,113.75,174.90.223.29,24,1726639.0,20992568320.0,BehavioralDOS,network flood IPv4 UDP,UDP,"6673,62486",5451423402,"10.112.108.38, 10.112.112.180",High
2025-12-12 19:48:27,2025-12-12 19:48:57,0.5,142.127.4.58,1,127620.0,1308990464.0,TrafficFilters,tf_udp-frag-1k,UDP,Multiple/Unknown,2636812,10.112.108.38,High
2025-12-20 02:25:23,2025-12-20 02:25:53,0.5,174.90.223.45,1,110772.0,1308256256.0,DOSShield,DDoS-UDP-MEMCACHED-AMP,UDP,Multiple/Unknown,1724313,10.112.108.38,Medium
2025-12-21 18:01:43,2025-12-21 18:03:35,1.87,174.90.223.218,1,2292394.0,1270670336.0,BehavioralDOS,network flood IPv4 UDP,UDP,42515,161380769,10.112.108.38,High
2025-12-22 23:33:47,2025-12-22 23:34:47,1.0,199.243.219.115,1,141197.0,1410124800.0,BehavioralDOS,network flood IPv4 UDP,UDP,4790,2686826,10.112.108.38,High
2025-12-30 02:11:05,2025-12-30 02:12:36,1.52,174.90.223.251,3,1732415.0,18662264832.0,"DOSShield, TrafficFilters",CPS - CL_SOC_IAAS_A0_1_UDP; tf_udp-frag-1k,UDP,Multiple/Unknown,98302822,"10.112.108.38, 10.112.155.71",High
2025-12-30 02:22:58,2025-12-30 02:24:51,1.88,174.90.223.251,6,9279485.0,24039310336.0,"BehavioralDOS, DOSShield, TrafficFilters",CPS - CL_SOC_IAAS_A0_1_UDP; network flood IPv4 UDP; tf_udp-frag-1k,UDP,Multiple/Unknown,530487041,"10.112.108.38, 10.112.155.71",High
2025-12-30 09:04:08,2025-12-30 09:04:53,0.75,198.103.167.20,1,110987.0,1335618560.0,Anomalies,TCP handshake violation. First packet not SYN,TCP,Multiple/Unknown,2400157,10.112.155.71,Low
2025-12-30 10:04:08,2025-12-30 10:07:23,3.25,198.103.167.20,1,128824.0,1501157376.0,Anomalies,TCP handshake violation. First packet not SYN,TCP,Multiple/Unknown,19726393,10.112.155.71,Low
